Region,Magnitud
Oceano indico,9.1
Pacifico Norte,8.7
Indonesia,8.6
Peru,8.4
Oceano indico,8.4
Pacifico Norte,8.3
Pacifico Norte,8.3
Mar de Banda,8.2
Pacifico Norte,8.2
Pacifico Sur,8.2
Bolivia,8.2
Pacifico Sur,8.2
Pacifico Sur,8.1
Papua Nueva Guinea,8.1
Pacifico Sur,8.1
Colombia,8
Mar de Salomon,8
Mar de Filipinas,8
Pacifico Sur,8
Pacifico Sur,8
Michoacan,8
Pacifico Norte,8
Chile,8
Pacifico Norte,7.9
Mar del Coral,7.9
